fs_id	qid	geni_id
MBW7-P7H	Q141493478	6000000000757999620
LXM8-QYV	Q141493463	4976573922110117540
LZ6S-D5L	Q792154	6000000001827582117
LZ46-4QK	Q141498496	6000000001770214435
L6L1-BHL		
LZ46-4Q2		
LTW1-ZVD		
LHXN-S9G		
GSQ7-Z2P		
LVZ4-NRQ		
L2PF-C5T		
LJR7-MF9		
L2PF-CPJ	Q141498687	6000000003505812453
LZTJ-58T		
GZFW-9Q6		
LZRG-6P6		
GWBN-17V		
GZFW-3DS		
GM2V-CP2		
LTW1-8GN		
GZF7-L3S		
P94R-2CC		
PSM2-84F		
PCFL-GSL		
L89V-S6W		
GZF7-Y6N		
GDJD-8S9		
LZVM-NSK		
LZTN-J66		
PSM2-9M3		
G6HP-V83		
L7GJ-PMC		
GZF7-RBV		
GWBJ-S9N		
LX9S-N73		
9KM9-392		
PSM2-2S6		
9Q56-3B8		
GZF7-RBH		
KH6Z-3JY		
G6HP-2M4		
LC8B-SPJ		
LC8T-WKL		
G81S-MYZ		
PSM2-NHY		
KHYR-JQT		
LJLT-31G		
P89G-N7T		
P959-FX2		
GYQ4-6DB		
P94T-M4Y		
KVK1-RXN		
G5JY-7Z1		
GD2Z-2BL		
GLPX-9P4		
P78M-PXN		
GBM1-9ZG		
LVGN-3SM		
9KM9-S1J		
G97F-XS1		
GXTQ-S63		
P9C9-B1B		
P31X-CQZ		
GD68-JSQ		
GCBV-VNJ		
P4GM-W9P		
LT4M-634		
9NCQ-CWP		
PQM4-1L7		
KVK1-RX1		
MS7V-RF3		
GYQF-4NY		
G6JY-CSF		
GDC3-Y62		
MS7V-RFF		
KNDM-37V		
P78M-X2H		
G6M7-MSB		
LZY6-Y9L		
PSBL-PBG		
LVGN-3CY		
P9CX-6G6		
KN81-NN1		
G6MW-V7S		
9XN7-GT7		
G68B-2PD		
LZT6-ZC9		
9K6F-FYT		
9K6F-FYR		
9NCQ-CW5		
LDXJ-323		
GLTM-TBR		
GHLZ-26K		
KH6L-HJC		
LDXJ-3FL		
GBYR-856		
PSM2-8M2		
9NCQ-HFW		
PQM4-NNJ		
9MTT-WKQ		
GVBC-GYM		
PSBL-6LL		
P9TP-CLX		
GBMB-XZW		
L7GV-MLB		
LX3Q-W9T		
P75W-M39		
GBM1-Q3G		
GW92-2TF		
LJN1-N23		
L8SC-C1N		
KN81-NV9		
KNDM-3HB		
P8MB-VP8		
GY3R-4JY		
G538-1YV		
PWNB-2TG		
MN4P-JT6		
PSM2-PF4		
LCMZ-BCX		
MNXB-LFF		
9KM9-3MC		
PQFS-339		
KH4G-RTW		
LYKV-KQ6		
LY25-5ZH		
PS19-DQX		
93K1-8K3		
PCPZ-R5H		
L7QX-CMT		
GW92-XZ2		
P3QK-9X7		
KVK1-RXY		
LVGN-3K2		
LX3Q-W4X		
9HF9-TRP		
P7W1-DN1		
299D-857		
G8FW-7W7		
GGMT-SNG		
9HFS-CMM		
P4R4-8Q3		
PZB8-W2T		
LVGN-3VM		
GBMB-1W8		
MMQ4-D67		
GGL8-LM9		
P7TH-LQR		
PZ1S-XJJ		
G53L-K2M		
GRHM-DBF		
L7G7-Y6N		
P7W1-8FS		
9HF9-Y8N		
G2JY-22S		
GDBR-PKV		
GY31-XQ3		
LCZ9-HN4		
LHGT-6DW		
9KM9-S14		
PXTT-SNV		
G3MZ-GMS		
MN61-CPS		
PSM2-G8V		
K234-3P9		
PS1S-KMQ		
LVGN-3LR		
GGL8-YPG		
GPJH-F65		
G2JY-4FF		
GYQW-WSL		
P4RW-FZ9		
GF87-Q2L		
9HFS-D8R		
GM2L-3QH		
LHD4-DZX		
GW16-MQD		
LVWG-TNJ		
L4T1-RNH		
G8N7-DLX		
L196-WD9		
G39W-KL9		
K8QR-K82		
K26J-GSZ		
GGG2-C9G		
L2G9-BBK		
GG53-9S4		
GYQX-8KQ		
GY35-9BQ		
PMM4-3SB		
9HFS-DXV		
LVWG-T8M		
PCP8-3X5		
LHKZ-67N		
G8JB-6P7		
LVWG-T8P		
GDBR-YJY		
P4RW-QBG		
GHLZ-R84		
94RK-NW7		
LDPT-19R		
KVK1-RXR		
LCZB-QGF		
LZY4-QF7		
LY9M-ZM5		
4BR6-LF5		
KCSV-P51		
GW92-V58		
PXTT-JD4		
PS1S-Q3F		
L2WT-NNJ		
L4SX-QBB		
LZVJ-TDJ		
LWXM-KXC		
LZRJ-83D		
MVGG-XD5		
P4R7-TS5		
9HF9-1RZ		
P7W1-CY6		
LLSV-V9N		
K2Q5-ZPY		
9VP3-8Z7		
L2G9-134		
9HFS-YL6		
LCPB-HVM		
G8SH-L8F		
LBXN-Q85		
K2WW-83X		
P31X-7BC		
MXCJ-C66		
LX7S-BKX		
GRZ8-DMX		
PS1S-YTW		
P4RW-PNR		
K27P-1FF		
LZDH-WP8		
L2CY-1LQ		
P4R4-45P		
GMDQ-DDG		
LHD4-D72		
P31X-4V2		
LXQV-K62		
GYQW-PV5		
P45C-8Y1		
KND1-MGX		
LCZM-X5N		
KF45-K26		
K26J-G7L		
9HFS-TTZ		
PS19-PLL		
MDHW-W3J		
LBM7-YRR		
PMM4-X3R		
LB4D-5FW		
GYQL-1DY		
9HF9-YCD		
PS1S-7WL		
LC5N-HNL		
GDBR-NJ8		
L4BN-LR3		
9VMQ-DYB		
LB6P-YXX		
LZXB-JH3		
GBYR-F31		
9HFS-MVM		
P7W1-XPC		
MXCJ-CDR		
9HFS-BPQ		
PMM4-2LJ		
GZQ6-XW1		
PS19-57R		
G3WC-9DP		
G68B-G1T		
LCCS-KSY		
G1FJ-B3N		
LZY4-QVD		
KGMV-GJ3		
GPG7-ZS6		
GYQS-GCN		
GHL8-3NF		
LVGN-3RW		
2MKL-HZB		
G61H-TXP		
GDBR-YM1		
G3B9-TNG		
LZDH-WVD		
LCQ3-61J		
CDZ4-B5V		
K234-3TM		
GYQG-ZB1		
G39W-T3F		
LH5D-K25		
P4R4-4HM		
KGMV-GVV		
KVK1-RXG		
P6GY-9GN		
G39W-GBK		
LVZC-TB8		
G2JX-THL		
GGR9-YVR		
KVK1-RXP		
GGGP-YY1		
L4Q1-XH5		
GGR3-73G		
LZDH-437		
LJTF-V5D		
LVGN-3YS		
GRFJ-XK8		
LR1P-J3L		
P6RZ-V5J		
G1FJ-5D8		
9HFS-TF8		
GYQS-2KC		
GGRS-RFN		
L217-KJD		
GKMM-HHX		
G68B-T5N		
L2WT-FB5		
G8SH-V7R		
LVNW-4Q6		
GY3G-NZL		
