path	step_a	step_b	name_a	name_b	qid_a	qid_b	a_to_b	b_to_a	state
paths/charlemagne-to-arne-garborg.tsv	1	2	Arne Garborg	Ane Oline Jonsdatter Raugstad	Q467497	Q141152523	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	2	3	Ane Oline Jonsdatter Raugstad	Jon Samuelsen Raustad	Q141152523	Q141168955	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	3	4	Jon Samuelsen Raustad	Marta Jonsdatter Li	Q141168955	Q141178381	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	4	5	Marta Jonsdatter Li	Jon Larson Mæle	Q141178381	Q141180408	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	5	6	Jon Larson Mæle	Lars Tormodsen Mele	Q141180408	Q141189079	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	6	7	Lars Tormodsen Mele	Berit Larsdatter Nedre Rossavik	Q141189079	Q141198382	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	7	8	Berit Larsdatter Nedre Rossavik	Lars Person Nedre Rossavik	Q141198382	Q141198751	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	8	9	Lars Person Nedre Rossavik	Peder Larsen Mjølhus	Q141198751	Q141198831	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	9	10	Peder Larsen Mjølhus	Lars Gunnbjørnsen Mjølhus	Q141198831	Q141198832	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	10	11	Lars Gunnbjørnsen Mjølhus	Gunnbjørn Jonson Mjølhus	Q141198832	Q141198834	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	11	12	Gunnbjørn Jonson Mjølhus	Bergitte Gunnbjørnsdatter Aukland	Q141198834	Q141198835	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	12	13	Bergitte Gunnbjørnsdatter Aukland	Lagmann Gunnbjørn Toresson Tengs	Q141198835	Q141199851	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	13	14	Lagmann Gunnbjørn Toresson Tengs	Knight Tore Gardsson	Q141199851	Q141205942	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	14	15	Knight Tore Gardsson	Ramborg Knutsdotter Lejon	Q141205942				no item: Ramborg Knutsdotter Lejon
paths/charlemagne-to-arne-garborg.tsv	15	16	Ramborg Knutsdotter Lejon	Knut Algotsson		Q5915800			no item: Ramborg Knutsdotter Lejon
paths/charlemagne-to-arne-garborg.tsv	16	17	Knut Algotsson	Algot Bryniolfsson	Q5915800	Q19842232	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	17	18	Algot Bryniolfsson	Ingegerd Svantepolksdotter	Q19842232	Q101247444	P25		linked
paths/charlemagne-to-arne-garborg.tsv	18	19	Ingegerd Svantepolksdotter	Svantepolk Knutsson Viby, Skarsholmsätten	Q101247444	Q6197518	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	19	20	Svantepolk Knutsson Viby, Skarsholmsätten	Knut Valdemarsson, Duke of Estland, Blekinge and Lolland	Q6197518	Q3743799	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	20	21	Knut Valdemarsson, Duke of Estland, Blekinge and Lolland	Helena Guttormsdatter	Q3743799	Q4953376	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	21	22	Helena Guttormsdatter	Ingrid Guttormsdotter	Q4953376				no item: Ingrid Guttormsdotter
paths/charlemagne-to-arne-garborg.tsv	22	23	Ingrid Guttormsdotter	Guttorm Àsulfsson à Rein		Q19061035			no item: Ingrid Guttormsdotter
paths/charlemagne-to-arne-garborg.tsv	23	24	Guttorm Àsulfsson à Rein	Åsulv Skulesson	Q19061035	Q75291928	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	24	25	Åsulv Skulesson	Skule Torstigson	Q75291928	Q6180419	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	25	26	Skule Torstigson	Judith of Flanders	Q6180419	Q273181	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	26	27	Judith of Flanders	Baldwin IV the Bearded, count of Flanders	Q273181	Q378177	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	27	28	Baldwin IV the Bearded, count of Flanders	Rozala of Italy	Q378177	Q466257	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	28	29	Rozala of Italy	Berengar II of Ivrea, king of Italy	Q466257	Q314521	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	29	30	Berengar II of Ivrea, king of Italy	Gisela of Friuli	Q314521	Q3769073	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	30	31	Gisela of Friuli	Berengar I, emperor of the Romans	Q3769073	Q274606	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	31	32	Berengar I, emperor of the Romans	Giséle of Cysoing	Q274606	Q284400	P25	P40	linked
paths/charlemagne-to-arne-garborg.tsv	32	33	Giséle of Cysoing	Louis I, The Pious	Q284400	Q43974	P22	P40	linked
paths/charlemagne-to-arne-garborg.tsv	33	34	Louis I, The Pious	Charlemagne	Q43974	Q3044	P22	P40	linked
paths/bergitte-to-emma.tsv	1	2	You (Emma Leonhart)	Richard Wade Borsheim					no item: You (Emma Leonhart) and Richard Wade Borsheim
paths/bergitte-to-emma.tsv	2	3	Richard Wade Borsheim	Randolph Paulus Borsheim					no item: Richard Wade Borsheim and Randolph Paulus Borsheim
paths/bergitte-to-emma.tsv	3	4	Randolph Paulus Borsheim	Reinhert Borsheim					no item: Randolph Paulus Borsheim and Reinhert Borsheim
paths/bergitte-to-emma.tsv	4	5	Reinhert Borsheim	Rakel Rasmusdottir Borsheim					no item: Reinhert Borsheim and Rakel Rasmusdottir Borsheim
paths/bergitte-to-emma.tsv	5	6	Rakel Rasmusdottir Borsheim	Anne Berta Osmundsdatter Nese					no item: Rakel Rasmusdottir Borsheim and Anne Berta Osmundsdatter Nese
paths/bergitte-to-emma.tsv	6	7	Anne Berta Osmundsdatter Nese	Osmund Larsson Nese					no item: Anne Berta Osmundsdatter Nese and Osmund Larsson Nese
paths/bergitte-to-emma.tsv	7	8	Osmund Larsson Nese	Lars Osmundsen Foss-Eikeland, d. y.					no item: Osmund Larsson Nese and Lars Osmundsen Foss-Eikeland, d. y.
paths/bergitte-to-emma.tsv	8	9	Lars Osmundsen Foss-Eikeland, d. y.	Osmund Larsen Raunes					no item: Lars Osmundsen Foss-Eikeland, d. y. and Osmund Larsen Raunes
paths/bergitte-to-emma.tsv	9	10	Osmund Larsen Raunes	Lars Nilsen Raunes					no item: Osmund Larsen Raunes and Lars Nilsen Raunes
paths/bergitte-to-emma.tsv	10	11	Lars Nilsen Raunes	Nils Larsen Raunes					no item: Lars Nilsen Raunes and Nils Larsen Raunes
paths/bergitte-to-emma.tsv	11	12	Nils Larsen Raunes	Guri Pedersdatter Foss					no item: Nils Larsen Raunes and Guri Pedersdatter Foss
paths/bergitte-to-emma.tsv	12	13	Guri Pedersdatter Foss	Cecilie Olsdatter Håland		Q141206061			no item: Guri Pedersdatter Foss
paths/bergitte-to-emma.tsv	13	14	Cecilie Olsdatter Håland	Gudrun Sæbjørnsdatter Talgje	Q141206061	Q141205909	P25	P40	linked
paths/bergitte-to-emma.tsv	14	15	Gudrun Sæbjørnsdatter Talgje	Sissel Jonsdatter Talje	Q141205909	Q141200101	P25	P40	linked
paths/bergitte-to-emma.tsv	15	16	Sissel Jonsdatter Talje	Bergitte Gunnbjørnsdatter Aukland	Q141200101	Q141198835	P25	P40	linked
