geni_id,label,walk,campaign,why,state
6000000008826548841,Adasi Monte Carlo cap hit,Descendants,descendants,"the one target added after the queue closed 2026-09-13 -- 15000 on the census, a ball truncated by definition; Emma: ""we are adding the Adasi one. I am not committing to anything more with this""",owed
6000000021665410212,Aztec banked hit,Descendants,descendants,"the last unspent banked Monte Carlo hit, 5086",owed
6000000209721868822,NN Mixcoamatzin (Aztec),Forest,descendants,"part 2 -- Forest then Monte Carlo, no Descendants; the Forest is not on disk",owed
6000000000872878006,"Johann Christoph Bach, III",Forest,isolates,cleared the 250 floor with no path either way,owed
6000000001517526463,Philip Frederich Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000008176981279,"Maria Sophia Bach, twin",Forest,isolates,cleared the 250 floor with no path either way,owed
6000000008209329558,Johanna Carolina Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000008209364679,Johann Christian Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000008209406512,Christiana Dorothea Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000008209471202,Regina Johanna Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000008209474398,Johann August Abraham Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000008209478282,Regina Susanna Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000008881347600,Kishore Kumar,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000009593804483,Sati Devi,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000038555523003,Madhuri Devi,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000038555630138,Satyajit Ray,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000081561097142,Johann Friedrich Nikolaus Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000081561262442,Johann Friedrich Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000081561784858,Johann Christoph Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000081561965958,Elenora Maria Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000081701543832,Johann Karl Friederich Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000082250162949,"Johann Christoph Bach, VI",Forest,isolates,cleared the 250 floor with no path either way,owed
6000000174772224635,Johann August Reinhold Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000174773610146,Friedrich Leopold Bach,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000174773679865,Catherine MacLachlan,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000174774257861,Henrietta Louise (Janie) Oakes,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000174774399824,Hazel I. Stone,Forest,isolates,cleared the 250 floor with no path either way,owed
6000000000746523797,Helene de Corday,Descendants,descendants,"one of the six, 15000 on the census",done
6000000001435366077,Ines de Bettencourt I,Descendants,descendants,"one of the six, 15000 on the census",done
6000000008384075400,Sayaluna ata,Descendants,descendants,"one of the six found in Abul Hamza's ball 2026-09-10, 15000 on the census",done
6000000015633226273,Pietro Antonio di Capua,Descendants,descendants,"one of the six, 12476 on the census",done
6000000015647948256,Jacques Grimaldi,Descendants,descendants,"one of the six, 11468 on the census; the export/<id> refusal was measured on him",done
6000000026257912323,Robert d'Esneval VI,Descendants,descendants,"one of the six, 15000 on the census",done
6000000035218690155,Genghis,Descendants,descendants,part 2 -- Monte Carlo only; its Forest is filed and no ball is,done
6000000227723403845,Adasi reseed past the bottleneck,Descendants,descendants,"part 1 of THE WHOLE PROGRAM -- Forest and Descendants filed; this row is the Monte Carlo's future hits, not a repeat",done
6000000227738946872,ancestor created above Sayaluna ata,Descendants,descendants,"THE SIX 1/6 -- climbed 2026-09-13, ancestor owned by this account so it exports directly",done
6000000227738961944,ancestor created above Ines de Bettencourt I,Descendants,descendants,THE SIX 4/6 -- climbed 2026-09-13,done
6000000227739018883,ancestor created above Robert d'Esneval VI,Descendants,descendants,THE SIX 3/6 -- climbed 2026-09-13,done
6000000227739063867,ancestor created above Helene de Corday,Descendants,descendants,THE SIX 2/6 -- climbed 2026-09-13,done
6000000227739073017,ancestor created above Jacques Grimaldi,Descendants,descendants,"THE SIX 6/6 -- climbed 2026-09-13, export 6000000227739405827 submitted",done
6000000227739183868,ancestor created above Pietro Antonio di Capua,Descendants,descendants,"THE SIX 5/6 -- climbed 2026-09-13, export 6000000227739138939 submitted",done
