round	slot	geni_id	proposed_qid	recorded_qid	from_geni	from_qid
1	child	6000000014191698337	Q3917219	Q2075300	6000000003827671919	Q61278510
1	father	6000000033241928940	Q2080596	Q2991423	6000000139471490941	Q18226113
1	spouse	6000000002188095479	Q75276077	Q75276078	298183310170001736	Q19360709
1	child	6000000020985906917	Q798007	Q638646	6000000011855024217	Q2464872
1	father	5477503367560083505	Q104755846	Q104755784	6000000040290302727	Q2482314
1	spouse	6000000007456333287	Q3985399	Q778550	6000000027346213834	Q2869609
1	child	6000000006727821981	Q54049	Q2992106	6000000001409339120	Q128399
1	child	6000000006727821988	Q30879499	Q4110531	6000000001409339120	Q128399
1	child	6000000002188095479	Q75276077	Q75276078	6000000008630912026	Q5992403
1	father	6000000007376934082	Q98698894	Q1121345	6000000007377375350	Q98698834
2	mother	6000000002188095479	Q75276077	Q75276078	6000000026258507505	Q76305131
2	mother	6000000002188095479	Q75276077	Q75276078	6000000002115940574	Q76017459
2	child	6000000020985906917	Q798007	Q638646	6000000011835207917	Q16738576
2	child	6000000007456333287	Q3985399	Q778550	6000000007453720795	Q318072
2	child	6000000011242827610	Q136784000	Q104538482	6000000011242594971	Q4060947
2	mother	6000000002188095479	Q75276077	Q75276078	6000000002188095463	Q104538264
2	mother	6000000002188095479	Q75276077	Q75276078	6000000005024509046	Q43915175
3	child	6000000007456333287	Q3985399	Q778550	6000000027345611750	Q16845307
5	child	6000000018197588373	Q4139577	Q4139580	6000000017971990158	Q4411635
6	father	6000000003494757809	Q20498306	Q4267365	6000000000141500093	Q2473482
8	spouse	6000000003827963052	Q703448	Q703346	6000000003513109857	Q106042353
