geni_id,qid,wikidata_en,latin_name_count,first_latin_name,first_verdict,first_token_diff,best_latin_name,best_verdict
1064102,Q108743020,"Jean d'O, Seigneur d'O, Fresnes, Baillet, Maillebois, Franconville",1,Jean d'O Seigneur d'O & de Maillebois,"overlap, half or more",-1,Jean d'O Seigneur d'O & de Maillebois,"overlap, half or more"
1077060,Q108743022,"Robert VII d'O, seigneur d'O et de Maillebois",1,Robert VII dit Robin D'O Seigneur d'O & de Maillebois,"overlap, half or more",2,Robert VII dit Robin D'O Seigneur d'O & de Maillebois,"overlap, half or more"
1077061,Q108743024,Marguerite de Blosset,1,Marguerite Blosset,Wikidata is a superset,-1,Marguerite Blosset,Wikidata is a superset
1354718,Q168691,Victor Emmanuel II of Italy,5,Vittorio Emanuele Maria Alberto Eugenio Ferdinando Tommaso di Savoia,nothing in common,4,"Victor Emmanuel II, king of Italy",Geni is a superset
1354801,Q434077,"Prince Napoléon-Jérôme, Prince Napoléon",1,Napoléon Joseph Charles Paul Bonaparte 3rd prince de Montfort,"overlap, half or more",6,Napoléon Joseph Charles Paul Bonaparte 3rd prince de Montfort,"overlap, half or more"
1656804,Q107145462,Frances Lucy Baylor,1,Frances Walker,"overlap, half or more",-1,Frances Walker,"overlap, half or more"
1825560,Q112959102,Samuel Wells,1,Samuel Wells,identical,0,Samuel Wells,identical
2233799,Q7174248,Peter Gimbel,1,Peter Robin Gimbel,Geni is a superset,1,Peter Robin Gimbel,Geni is a superset
2399215,Q110303305,Mogens Mogensen Gyldenstjerne,1,Mogens Mogensen Gyldenstierne,"overlap, half or more",0,Mogens Mogensen Gyldenstierne,"overlap, half or more"
2399880,Q12317087,Holger Rosenkrantz,2,"Holger ""Den Rige"" Rosenkrantz",Geni is a superset,2,"Holger ""Den Rige"" Rosenkrantz",Geni is a superset
2430192,Q182840,Louis the Stammerer,7,Louis II,"overlap, half or more",-1,"Louis II the Stammerer, king of the West Franks",Geni is a superset
2434135,Q19914243,Yolande van Lalaing,2,Yolande de Lalaing,"overlap, half or more",0,Yolande,Wikidata is a superset
2434385,Q2121164,Wolfert van Brederode,1,Wolfert van Brederode heer van Cloetinge en Zwammerdam,Geni is a superset,4,Wolfert van Brederode heer van Cloetinge en Zwammerdam,Geni is a superset
2434772,Q31191805,"George William, Count of Sayn-Wittgenstein-Berleburg",2,Georg Wolfgang Wilhelm von Sayn-Wittgenstein-Berleburg,"overlap, under half",0,Georg Wolfgang Wilhelm von Sayn-Wittgenstein-Berleburg,"overlap, under half"
283181900190003966,Q271376,Amestris,1,Amestris .,identical bar case/diacritics,0,Amestris .,identical bar case/diacritics
283896414940007239,Q125472016,"John Sargent, Jr.",1,John Sargent Jr.,identical bar case/diacritics,0,John Sargent Jr.,identical bar case/diacritics
